Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
55,39.78,55.58
54,41.55,55.37
54,40.83,55.11
53,41.25,54.48
53,37.91,51.22
52,37.52,55.77
52,39.91,53.89
51,38.29,55.31
50,38.50,56.00
49,35.85,52.25
49,39.47,57.15
48,39.00,52.50
48,39.00,47.90
46,36.61,48.28
46,38.09,53.50
46,41.46,49.72
46,36.00,56.32
45,35.61,48.28
44,38.71,55.68
43,37.62,50.63
43,38.78,46.97
43,35.58,46.90
42,35.94,49.06
42,34.42,46.00
46,38.14,53.82
41,32.85,48.21
41,35.19,47.19
41,34.13,47.06
41,32.18,41.86
41,32.02,40.83
40,38.38,41.46
40,34.01,37.35
40,37.40,52.86
40,31.44,45.21
40,37.25,43.62
39,32.61,43.28
39,32.84,39.51
39,35.25,48.72
39,36.30,42.70
38,31.69,36.90
38,37.72,43.38
38,35.75,44.44
38,32.12,41.25
37,34.01,37.35
37,34.93,39.47
37,35.14,35.71
36,27.78,52.51
36,32.58,46.90
36,31.36,45.90
36,34.98,43.00
36,34.93,39.47
36,32.85,37.21
35,33.68,40.58
35,33.55,47.37
35,33.33,39.74
34,35.19,47.19
34,36.77,35.33
33,28.49,43.75
33,30.40,40.71
33,23.59,34.49
32,35.94,45.06
32,28.88,36.78
32,28.65,35.21
32,24.80,51.92
31,23.16,29.59
31,33.29,19.79
31,34.12,42.50
31,28.11,41.18
30,33.77,29.31
30,27.06,35.51
30,32.76,42.02
30,26.10,35.05
30,17.96,48.50
30,28.31,40.00
30,24.82,37.93
29,25.96,31.07
29,35.39,35.92
29,8.89,49.35
29,23.29,29.79
29,32.23,15.61
29,26.67,40.98
29,28.52,36.49
29,28.17,35.24
29,34.03,27.08
28,15.53,46.78
28,22.58,41.18
28,26.63,39.80
28,30.44,37.84
28,24.63,36.78
28,19.05,31.25
28,11.89,44.51
28,29.88,23.46
28,16.33,36.51
28,18.67,33.70
28,10.57,47.89
27,29.64,30.83
27,21.55,42.37
27,19.61,31.51
27,19.58,28.75
27,23.16,42.24
27,27.24,33.65
27,24.21,32.69
27,24.50,31.52
27,34.58,17.66
26,14.68,32.95
26,29.20,31.86
26,31.85,37.70
26,13.03,34.62
26,22.89,29.67
26,25.78,38.71
26,10.95,47.65
25,15.75,44.44
25,14.98,40.38
25,24.50,31.52
25,18.14,33.33
24,6.50,46.09
24,20.19,26.92
24,11.89,45.51
24,31.71,22.00
24,12.66,47.19
24,16.00,24.32
24,12.34,48.39
24,6.53,46.95
24,34.34,10.39
24,25.96,37.10
24,11.80,36.17
24,21.36,35.90
24,35.20,12.79
24,10.71,22.00
23,26.88,25.45
23,24.48,39.24
23,24.89,40.74
23,32.75,10.00
23,30.72,15.63
23,19.63,32.50
23,28.51,19.59
23,24.14,18.63
23,8.50,45.07
22,11.71,25.00
22,14.89,42.50
22,13.95,43.65
22,15.77,27.27
21,24.60,30.93
21,15.35,29.23
21,17.57,36.36
21,24.42,23.01
21,12.79,43.75
21,27.14,22.41
20,23.62,36.14
20,23.75,29.00
20,12.75,28.26
20,22.37,21.35
20,16.83,19.75
20,15.57,42.14
20,28.84,39.51
20,16.35,31.82
20,15.45,28.13
20,24.82,20.00
20,20.19,26.92
20,25.51,19.59
19,16.26,27.59
19,8.62,37.24
19,14.92,28.13
19,14.57,17.19
19,23.81,17.14
19,18.14,33.33
19,24.24,31.63
19,14.09,20.90
18,24.81,37.65
18,10.92,25.00
18,10.92,25.00
18,16.62,23.19
18,17.19,17.24
18,16.26,27.59
18,9.31,28.05
18,20.73,20.00
18,16.62,33.96
18,13.78,29.82
18,17.27,21.52
18,16.87,27.78
18,15.51,27.27
18,12.94,20.00
18,23.14,37.31
17,11.72,5.63
17,19.64,30.38
17,16.69,24.29
17,19.69,39.88
17,26.50,38.78
17,21.34,20.39
17,24.59,32.32
17,18.82,25.71
17,17.50,15.07
17,15.59,11.54
17,11.29,9.09
17,12.43,22.81
17,24.78,26.92
16,15.58,10.11
16,6.51,26.39
16,8.10,34.38
16,19.31,32.43
16,16.35,31.82
16,17.25,20.48
16,12.94,18.46
16,16.65,12.09
16,16.09,20.51
15,14.66,24.62
15,19.79,27.59
15,13.45,17.91
15,25.20,19.79
15,7.32,11.24
15,16.51,26.39
15,21.44,32.10
15,16.47,24.62
15,21.89,25.51
15,17.88,19.74
15,16.77,16.47
15,13.56,15.63
15,9.08,15.22
14,17.77,27.85
14,10.12,21.88
14,24.14,18.63
14,11.20,6.06
14,15.19,28.79
14,19.48,11.70
14,18.02,24.68
14,10.74,33.88
14,16.61,34.33
14,19.02,28.75
14,16.96,26.39
14,21.54,24.74
14,24.42,23.01
14,17.22,14.61
14,21.10,11.34
14,12.33,27.27
14,18.61,23.19
14,24.14,18.63
14,13.13,10.96
13,12.38,15.63
13,17.84,20.00
13,19.87,7.76
13,21.55,32.05
13,21.24,30.00
13,17.64,29.73
13,14.06,28.33
13,15.86,25.35
13,16.79,24.68
13,11.47,20.45
13,14.53,15.52
13,8.72,29.11
13,18.18,18.18
13,20.51,26.09
13,14.57,17.19
13,14.35,24.24
13,19.85,21.18
13,10.12,21.88
13,15.10,18.57
12,26.46,36.40
12,21.41,21.74
12,14.09,20.90
12,17.34,29.33
12,12.50,15.69
12,18.22,22.99
12,19.40,21.98
12,15.45,21.43
12,17.11,21.24
12,11.22,17.86
12,9.90,17.50
12,16.51,12.22
12,19.87,7.76
12,19.47,30.67
12,5.70,21.21
12,7.72,25.68
12,24.03,34.34
12,24.42,23.01
12,17.32,11.24
12,12.75,28.26
12,17.52,26.39
12,13.33,17.74
11,20.46,27.27
11,9.77,25.58
11,26.23,22.03
11,21.49,21.21
11,16.26,19.23
11,22.59,9.30
11,9.98,28.57
11,23.91,27.96
11,8.63,25.81
11,21.78,29.27
11,10.95,35.95
11,13.30,35.19
11,15.29,29.82
11,12.85,27.45
11,19.23,26.76
11,15.23,22.39
11,18.35,32.43
11,15.15,28.57
10,14.35,29.63
10,19.02,28.75
10,20.46,25.00
10,14.76,34.48
10,17.77,27.85
10,22.41,25.56
10,17.39,22.50
10,13.09,20.00
10,12.94,18.46
10,16.55,16.67
10,21.62,11.67
10,22.30,27.59
10,22.30,27.59
10,16.38,24.66
10,13.56,15.63
10,14.38,20.29
10,25.58,20.16
10,14.35,29.63
10,22.37,21.35
10,20.22,16.35
10,10.57,5.36
9,12.72,25.00
9,16.88,14.49
9,23.62,35.58
9,19.08,30.77
9,16.03,25.37
9,12.43,24.49
9,9.90,17.50
9,18.44,15.73
9,8.69,26.67
9,22.01,30.77
9,12.43,26.00
9,18.44,15.73
9,19.11,22.62
9,18.68,21.35
9,19.02,23.86
9,10.84,24.00
8,14.47,28.30
8,24.78,26.92
8,17.88,22.62
8,15.15,25.00
8,18.65,26.83
8,18.44,15.73
8,12.86,35.82
8,13.90,32.73
8,14.09,21.21
8,17.42,15.38
8,11.27,34.21
8,17.88,22.62
8,19.56,16.83
7,16.10,12.20
7,15.29,29.82
7,11.09,31.91
7,10.22,20.88
6,11.55,32.05
6,9.95,35.05
44,39.63,53.92857143
43,39.23,51.58
42,40.14,53.57142857
40,38.94,35
39,34.94,56.35820896
18,32.7,14.63414634
38,37.29,44.82758621
37,40.35,30.23255814
36,38.11,38.02816901
36,36.86,45.71428571
36,37.12,43.18181818
19,38.02,14
35,34.77,39.13043478
35,31.79,49.35285714
34,37.35,35.38461538
33,29.19,46
33,37.43,45.07
33,31.71,35.71428571
33,36.29,44.82758621
33,27.06,36.36
33,27.6,53.48837209
33,36.35,36.17021277
32,31.79,40.33666667
32,34.03,37.03703704
31,38.11,38.02816901
31,32.77,38.70967742
31,25.09,40.90909091
30,27.24,36
30,38.86,48.88888889
30,28.19,44.89795918
30,29.7,54.34782609
30,29.79,42.85714286
29,26.91,44.44444444
29,28.24,48
29,27.6,53.48837209
29,34.31,40
29,35.8,35.87393939
29,30.68,55.10204082
28,27.61,37.03703704
28,32.93,25
28,28.47,15.15151515
28,28.24,48
28,26.27,42.85714286
28,31.79,30.35714286
28,35.87,28.9843662
28,21.26,48.64864865
28,30.27,33.03525424
28,20.26,39.44
27,31.61,32.14285714
27,22.82,32.55813953
26,20.67,20.51282051
26,18.19,11.9047619
26,7.79,8.695652174
26,31.96,48.21428571
26,18.26,44.11764706
26,34.8,39.79794872
25,31.26,43.75
25,10.83,6.666666667
25,25.03,47.61904762
25,19.6,40
25,26.39,34.69387755
25,23.85,24.48979592
25,19.18,38.88888889
25,32.19,29.50819672
25,30.9,32.72727273
24,30.68,45.1
24,25.56,40.81632653
24,25.56,40.81632653
24,4.91,6.666666667
24,8.64,12.5
24,19.77,12
24,17.9,36.36363636
24,27.29,30.18867925
24,17.91,23.02
23,25.31,24.52830189
23,25.65,45
23,31.55,39.99692308
23,32.19,29.50819672
23,12,5.405405405
23,11.68,51.28
23,27.44,40.38461538
23,25.05,32.69230769
23,24.91,21.15384615
22,22.6,34.7826087
22,26.58,54
22,27.28,44.89795918
22,30.49,40.74074074
22,18.81,27.5
22,10.83,43.66666667
21,13.95,7.692307692
21,4.33,7.692307692
21,8.1,54.86
21,20.77,41.17647059
21,24.17,39.13043478
21,24.22,35.55555556
21,18.67,31.42857143
21,23.17,25.53191489
21,23.6,36.17021277
21,26.47,37.73
21,33.3,36.20689655
21,17.91,33.33333333
21,14.73,32.11939394
21,24.91,31.15384615
20,27.61,37.03703704
20,31.19,34.61538462
20,32.25,28.04818182
20,18.52,23.25581395
20,18.94,35.29411765
20,4.33,45.14
20,14.03,37.03703704
20,8.32,27.77777778
20,10.34,27.27272727
20,7.9,21.05263158
20,8.05,21.05263158
19,16.21,29.41176471
19,18.08,28.94736842
19,19.62,23.07692308
19,7.65,37.09
19,27.11,28.57142857
19,27.24,36
19,15.92,30.3030303
19,9.62,21.73913043
19,17.27,21.62162162
19,17.19,41.37931034
19,25.66,31.37254902
18,27.99,36
18,14.45,33.33333333
18,7.48,15
18,12.64,25
18,9.94,11.1
