Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
12,7.1,19.2
13,8.0,37.2
13,8.5,19.2
11.5,8.9,25.0
10,9.1,20.0
11,9.3,33.3
11.5,10.5,10.2
9,10.6,17.0
9,10.6,39.4
11,11.5,13.0
11,12.2,39.7
9,12.4,31.5
11,13.6,33.7
11,13.9,34.9
10,13.9,26.2
11,14.7,22.6
12,14.8,27.7
13,14.8,28.1
8,14.8,21.7
8,14.8,21.7
8,15.5,33.3
6,15.5,28.6
8,15.8,18.6
11,15.8,31.3
14,16.1,44.4
13,16.4,38.0
8,16.7,28.6
7,17.1,31.4
10,17.1,28.8
9,17.1,26.0
16,17.2,21.7
13,17.2,22.0
13,17.3,31.9
18,17.4,42.9
12,17.6,7.9
11,18.0,14.4
14,18.1,17.2
9,18.3,17.0
8,18.4,24.7
12,18.4,16.4
17,18.5,46.8
9,18.6,32.9
10,18.7,14.6
11,18.7,31.4
13,19.0,42.3
15,19.0,28.0
12,19.1,34.6
12,19.3,20.2
10,19.3,27.4
11,19.5,20.7
8,19.6,24.4
10,19.6,32.4
11,19.7,32.9
8,19.8,20.2
11,19.8,29.6
13,19.8,33.3
15,19.8,42.4
19,19.8,43.5
11,20.1,22.9
14,20.2,25.3
13,20.3,26.7
11,20.4,31.7
15,20.4,45.2
9,20.4,27.3
17,20.6,33.7
10,20.6,28.1
18,20.6,35.5
10,20.6,41.7
10,20.7,37.0
11,20.9,39.2
8,21.1,38.7
12,21.1,32.2
15,21.2,26.3
13,21.4,14.4
17,21.4,44.6
13,21.4,20.2
17,21.4,20.2
21,21.5,43.5
15,21.5,31.7
15,21.5,30.0
16,21.6,31.1
23,21.6,44.7
14,21.7,28.4
14,21.7,28.4
8,21.8,27.0
14,21.8,25.0
20,21.8,46.3
16,21.8,22.9
12,22.0,33.3
13,22.0,30.8
14,22.1,32.3
9,22.2,34.8
15,22.3,37.2
18,22.3,30.5
13,22.4,37.9
14,22.5,37.1
12,22.6,22.8
14,22.7,34.1
19,22.8,30.9
23,23.1,55.8
17,23.2,26.3
21,23.3,47.8
12,23.3,27.1
19,23.3,45.0
12,23.5,30.1
12,23.6,18.6
15,23.6,20.0
10,23.6,31.3
14,23.8,30.0
18,23.8,28.3
16,23.9,44.9
20,23.9,32.2
21,24.0,45.6
12,24.1,30.6
12,24.3,28.3
16,24.4,24.3
21,24.4,44.3
12,24.4,39.8
9,24.6,28.0
10,25.2,32.9
23,25.3,49.0
27,25.3,59.2
23,25.5,57.5
11,25.5,28.8
25,25.5,52.0
14,25.5,41.9
19,25.5,41.9
10,25.6,30.6
10,25.8,19.8
14,25.8,26.3
16,25.8,26.3
23,25.8,54.3
12,25.9,35.9
17,25.9,32.3
22,25.9,47.3
12,26.0,24.7
28,26.1,53.6
18,26.2,38.6
27,26.3,58.2
16,26.5,40.5
30,26.5,56.5
13,26.6,13.0
17,26.6,26.7
17,26.6,33.3
28,26.7,57.9
33,26.7,53.7
30,26.7,53.3
30,26.7,52.2
11,26.9,21.7
12,26.9,15.5
14,26.9,27.9
29,26.9,61.9
30,26.9,46.9
34,26.9,65.8
29,27.0,54.1
19,27.0,46.6
28,27.1,58.7
12,27.2,22.0
25,27.3,54.1
33,27.3,55.8
32,27.3,59.4
20,27.4,23.1
26,27.5,46.1
32,27.5,57.4
21,27.5,45.8
27,27.5,51.1
15,27.6,21.6
15,28.0,19.7
37,28.0,58.1
15,28.1,25.6
16,28.1,32.3
27,28.2,52.1
30,28.2,56.5
19,28.3,29.2
14,28.4,22.2
19,28.7,39.8
22,28.7,49.8
17,28.8,22.5
28,28.8,49.1
31,28.8,52.1
31,28.9,53.0
25,29.0,48.0
31,29.2,55.0
21,29.5,41.1
28,29.5,41.4
23,29.7,45.7
29,29.7,43.9
39,29.7,63.7
24,29.9,52.6
35,29.9,55.8
21,30.0,46.3
21,30.2,30.1
22,30.3,31.3
28,30.3,45.3
26,30.3,58.0
34,30.3,43.1
21,30.5,50.9
35,30.5,55.8
34,30.6,52.0
18,30.7,36.4
20,30.8,29.2
17,30.9,37.3
34,30.9,51.0
27,31.0,50.2
33,31.0,59.5
23,31.2,31.5
36,31.4,59.7
24,31.5,51.5
33,31.5,54.1
35,31.7,56.5
33,32.1,56.4
36,32.1,59.9
26,32.1,54.0
30,32.5,49.1
35,32.5,63.6
36,32.6,60.6
24,32.7,45.0
30,32.8,50.0
33,32.9,60.9
31,33.1,56.0
28,33.5,55.4
38,33.5,61.4
31,33.6,53.9
33,33.6,52.1
34,33.6,58.5
35,33.8,56.1
37,33.8,56.1
35,34.2,57.5
32,34.3,56.4
36,34.4,51.1
30,34.5,39.3
34,34.8,58.7
34,35.1,58.5
37,35.5,64.0
33,35.6,55.8
31,36.2,58.1
33,36.2,57.1
34,36.2,54.9
38,36.4,55.2
33,37.4,51.9
36,38.0,53.6
31,38.3,52.7
41,38.6,54.7
36,39.1,57.8
40,39.2,56.7
